"game_id","player","team","seconds","plus.minus","adj.plus.minus"
"0021700767","Daniel Theis","BOS",1375,-13,-27.2290909090909
"0021700784","Daniel Theis","BOS",1201,2,4.79600333055787
"0021700798","Daniel Theis","BOS",1322,1,2.178517397882
"0021700813","Daniel Theis","BOS",1669,5,8.62792091072498
"0021700820","Daniel Theis","BOS",1069,-6,-16.1646398503274
"0021700835","Daniel Theis","BOS",685,8,33.6350364963504
"0021700858","Daniel Theis","BOS",655,-1,-4.3969465648855
"0021700873","Daniel Theis","BOS",1255,4,9.1792828685259
"0021700886","Daniel Theis","BOS",1093,11,28.9844464775846
"0021700898","Daniel Theis","BOS",1458,11,21.7283950617284
"0021700953","Daniel Theis","BOS",1077,-6,-16.0445682451253
"0021700974","Daniel Theis","BOS",574,-3,-15.0522648083624
"0021700998","Daniel Theis","BOS",1163,-3,-7.42906276870163
"0021700001","Gordon Hayward","BOS",315,3,27.4285714285714
"0021700813","Greg Monroe","BOS",1184,8,19.4594594594595
"0021700820","Greg Monroe","BOS",639,-4,-18.0281690140845
"0021700835","Greg Monroe","BOS",705,-4,-16.3404255319149
"0021700858","Greg Monroe","BOS",573,-3,-15.0785340314136
"0021700873","Greg Monroe","BOS",1186,-13,-31.5682967959528
"0021700886","Greg Monroe","BOS",642,-9,-40.3738317757009
"0021700916","Greg Monroe","BOS",1249,13,29.9759807846277
"0021700939","Greg Monroe","BOS",1148,22,55.191637630662
"0021700953","Greg Monroe","BOS",1168,-10,-24.6575342465753
"0021700974","Greg Monroe","BOS",549,5,26.2295081967213
"0021700998","Greg Monroe","BOS",1012,-10,-28.4584980237154
"0021701017","Greg Monroe","BOS",1507,15,28.6662242866622
"0021701029","Greg Monroe","BOS",1270,-9,-20.4094488188976
"0021701047","Greg Monroe","BOS",1539,-26,-48.6549707602339
"0021701059","Greg Monroe","BOS",1311,-4,-8.78718535469108
"0021701086","Greg Monroe","BOS",1167,9,22.2107969151671
"0021701099","Greg Monroe","BOS",1231,-11,-25.7351746547522
"0021701107","Greg Monroe","BOS",1136,-6,-15.2112676056338
"0021701121","Greg Monroe","BOS",1402,3,6.16262482168331
"0021701140","Greg Monroe","BOS",1003,0,0
"0021701162","Greg Monroe","BOS",1403,-9,-18.4746970776907
"0021701171","Greg Monroe","BOS",1402,-4,-8.21683309557775
"0021701185","Greg Monroe","BOS",1670,4,6.89820359281437
"0021701202","Greg Monroe","BOS",1320,-7,-15.2727272727273
"0021701215","Greg Monroe","BOS",1129,-10,-25.5093002657219
"0021701219","Greg Monroe","BOS",1247,-4,-9.23817161186848
"0021700019","Guerschon Yabusele","BOS",220,5,65.4545454545455
"0021700051","Guerschon Yabusele","BOS",123,-2,-46.8292682926829
"0021700092","Guerschon Yabusele","BOS",168,-1,-17.1428571428571
"0021700109","Guerschon Yabusele","BOS",419,3,20.6205250596659
"0021700138","Guerschon Yabusele","BOS",125,-5,-115.2
"0021700170","Guerschon Yabusele","BOS",450,8,51.2
"0021700269","Guerschon Yabusele","BOS",429,-14,-93.986013986014
"0021700356","Guerschon Yabusele","BOS",395,0,0
"0021700391","Guerschon Yabusele","BOS",471,-6,-36.687898089172
"0021700423","Guerschon Yabusele","BOS",320,-7,-63
"0021700436","Guerschon Yabusele","BOS",28,-1,-102.857142857143
"0021700456","Guerschon Yabusele","BOS",464,-2,-12.4137931034483
"0021700468","Guerschon Yabusele","BOS",252,0,0
"0021700485","Guerschon Yabusele","BOS",169,3,51.1242603550296
"0021700506","Guerschon Yabusele","BOS",579,-3,-14.9222797927461
"0021700559","Guerschon Yabusele","BOS",159,-6,-108.679245283019
"0021700570","Guerschon Yabusele","BOS",238,2,24.2016806722689
"0021700614","Guerschon Yabusele","BOS",107,-7,-188.411214953271
"0021700758","Guerschon Yabusele","BOS",292,-1,-9.86301369863014
"0021700767","Guerschon Yabusele","BOS",122,-6,-141.639344262295
"0021700784","Guerschon Yabusele","BOS",455,6,37.978021978022
"0021700798","Guerschon Yabusele","BOS",642,6,26.9158878504673
"0021701017","Guerschon Yabusele","BOS",1081,3,7.99259944495837
"0021701029","Guerschon Yabusele","BOS",129,-3,-66.9767441860465
"0021701047","Guerschon Yabusele","BOS",254,1,11.3385826771654
"0021701086","Guerschon Yabusele","BOS",998,11,31.7434869739479
"0021701099","Guerschon Yabusele","BOS",512,-1,-5.625
"0021701107","Guerschon Yabusele","BOS",18,-1,-160
"0021701121","Guerschon Yabusele","BOS",889,-8,-25.9167604049494
"0021701162","Guerschon Yabusele","BOS",286,-1,-10.0699300699301
"0021701171","Guerschon Yabusele","BOS",145,-2,-39.7241379310345
"0021701185","Guerschon Yabusele","BOS",1484,12,23.288409703504
"0021701219","Guerschon Yabusele","BOS",1708,8,13.4894613583138
"0021700019","Jabari Bird","BOS",814,15,53.0712530712531
"0021700051","Jabari Bird","BOS",161,-1,-17.888198757764
"0021700391","Jabari Bird","BOS",305,0,0
"0021700517","Jabari Bird","BOS",62,-4,-185.806451612903
"0021701047","Jabari Bird","BOS",195,2,29.5384615384615
"0021701099","Jabari Bird","BOS",522,8,44.1379310344828
"0021701107","Jabari Bird","BOS",26,-1,-110.769230769231
"0021701140","Jabari Bird","BOS",10,0,0
"0021701171","Jabari Bird","BOS",145,-2,-39.7241379310345
"0021701185","Jabari Bird","BOS",1452,8,15.8677685950413
"0021701202","Jabari Bird","BOS",1293,-16,-35.6380510440835
"0021701215","Jabari Bird","BOS",179,5,80.4469273743017
"0021701219","Jabari Bird","BOS",1718,2,3.35273573923166
"0021700700","Jarell Eddie","BOS",214,-4,-53.8317757009346
"0021700709","Jarell Eddie","BOS",124,-5,-116.129032258065
"0021700001","Jaylen Brown","BOS",2377,-4,-4.84644509886411
"0021700007","Jaylen Brown","BOS",1689,3,5.11545293072824
"0021700019","Jaylen Brown","BOS",2220,10,12.972972972973
"0021700051","Jaylen Brown","BOS",1927,11,16.4400622729632
"0021700067","Jaylen Brown","BOS",2056,4,5.60311284046693
"0021700078","Jaylen Brown","BOS",1907,15,22.6533822758259
"0021700092","Jaylen Brown","BOS",1816,18,28.5462555066079
"0021700109","Jaylen Brown","BOS",1481,16,31.1141120864281
"0021700129","Jaylen Brown","BOS",1838,4,6.26768226332971
"0021700138","Jaylen Brown","BOS",1678,2,3.4326579261025
"0021700146","Jaylen Brown","BOS",1834,-3,-4.71101417666303
"0021700161","Jaylen Brown","BOS",1971,11,16.0730593607306
"0021700170","Jaylen Brown","BOS",2133,11,14.8523206751055
"0021700188","Jaylen Brown","BOS",1955,7,10.3120204603581
"0021700201","Jaylen Brown","BOS",1887,24,36.6295707472178
"0021700215","Jaylen Brown","BOS",2046,9,12.6686217008798
"0021700230","Jaylen Brown","BOS",2129,10,13.5274776890559
"0021700249","Jaylen Brown","BOS",2232,7,9.03225806451613
"0021700257","Jaylen Brown","BOS",1857,3,4.65266558966074
"0021700269","Jaylen Brown","BOS",1654,20,34.8246674727932
"0021700292","Jaylen Brown","BOS",1954,-15,-22.1084953940635
"0021700314","Jaylen Brown","BOS",1297,-9,-19.9845797995374
"0021700326","Jaylen Brown","BOS",1955,-8,-11.7851662404092
"0021700343","Jaylen Brown","BOS",1378,6,12.5399129172714
"0021700374","Jaylen Brown","BOS",1841,16,25.0298750678979
"0021700386","Jaylen Brown","BOS",1831,17,26.7394866193337
"0021700391","Jaylen Brown","BOS",1716,-9,-15.1048951048951
"0021700407","Jaylen Brown","BOS",1973,-5,-7.29853015712114
"0021700423","Jaylen Brown","BOS",1922,2,2.99687825182102
"0021700436","Jaylen Brown","BOS",1994,4,5.77733199598796
"0021700442","Jaylen Brown","BOS",1639,7,12.3001830384381
"0021700456","Jaylen Brown","BOS",1890,10,15.2380952380952
"0021700485","Jaylen Brown","BOS",1627,27,47.7934849416103
"0021700495","Jaylen Brown","BOS",1906,-12,-18.1322140608604
"0021700539","Jaylen Brown","BOS",2072,1,1.38996138996139
"0021700559","Jaylen Brown","BOS",1784,12,19.372197309417
"0021700570","Jaylen Brown","BOS",1965,3,4.3969465648855
"0021700579","Jaylen Brown","BOS",2098,0,0
"0021700614","Jaylen Brown","BOS",1904,33,49.9159663865546
"0021700650","Jaylen Brown","BOS",1915,9,13.5352480417755
"0021700663","Jaylen Brown","BOS",2036,-9,-12.7308447937132
"0021700683","Jaylen Brown","BOS",2205,2,2.61224489795918
"0021700700","Jaylen Brown","BOS",1539,-1,-1.87134502923977
"0021700709","Jaylen Brown","BOS",1710,6,10.1052631578947
"0021700728","Jaylen Brown","BOS",2073,-5,-6.94645441389291
"0021700743","Jaylen Brown","BOS",2030,-13,-18.4433497536946
"0021700758","Jaylen Brown","BOS",1673,10,17.2145845786013
"0021700767","Jaylen Brown","BOS",2007,7,10.0448430493274
"0021700784","Jaylen Brown","BOS",2056,4,5.60311284046693
"0021700798","Jaylen Brown","BOS",1626,-14,-24.7970479704797
"0021700813","Jaylen Brown","BOS",2253,7,8.94806924101198
"0021700820","Jaylen Brown","BOS",1703,4,6.76453317674692
"0021700835","Jaylen Brown","BOS",1940,-16,-23.7525773195876
"0021700858","Jaylen Brown","BOS",2135,4,5.39578454332553
"0021700873","Jaylen Brown","BOS",1449,2,3.97515527950311
"0021700886","Jaylen Brown","BOS",1744,13,21.4678899082569
"0021700898","Jaylen Brown","BOS",1543,-7,-13.0654569021387
"0021700916","Jaylen Brown","BOS",1381,26,54.2215785662563
"0021700939","Jaylen Brown","BOS",1422,-8,-16.2025316455696
"0021700953","Jaylen Brown","BOS",1709,29,48.8706846108836
"0021700974","Jaylen Brown","BOS",1689,11,18.7566607460036
